word,pos,freq,index,freq_quantile,len,len_quantile,word_raw
територіальний,adjective,1018,889,1,15,long,територіа́льний
гострий,adjective,2115,1838,1,8,short,го́стрий
популярний,adjective,2165,1881,1,11,long,популя́рний
західний,adjective,628,529,1,9,mid,за́хідний
малий,adjective,699,594,1,6,short,мали́й
зарубіжний,adjective,2178,1892,1,11,long,зарубі́жний
зобов'язаний,adjective,2161,1877,1,13,long,зобов'я́заний
кримський,adjective,1860,1620,1,10,mid,кри́мський
донецький,adjective,1185,1037,1,10,mid,доне́цький
менший,adjective,1286,1125,1,7,short,ме́нший
етнічний,adjective,2107,1831,1,9,mid,етні́чний
яскравий,adjective,1770,1547,1,9,mid,яскра́вий
заробітний,adjective,1367,1190,1,11,long,заробі́тний
наявний,adjective,1418,1238,1,8,short,ная́вний
європейський,adjective,119,78,1,13,long,європе́йський
наприклад,adverb,222,166,1,10,mid,напри́клад
ще,adverb,47,28,1,2,short,ще
серйозно,adverb,2175,1890,1,9,mid,серйо́зно
безперечно,adverb,2114,1837,1,11,long,безпере́чно
безумовно,adverb,1826,1597,1,10,mid,безумо́вно
поступово,adverb,1549,1352,1,10,mid,поступо́во
навіщо,adverb,1668,1456,1,7,short,наві́що
дивно,adverb,1527,1332,1,6,short,ди́вно
важко,adverb,738,633,1,6,short,ва́жко
наскільки,adverb,1061,925,1,10,mid,наскі́льки
вже,adverb,53,32,1,4,short,вже́
згідно,adverb,514,429,1,7,short,згі́дно
прямо,adverb,1597,1392,1,6,short,пря́мо
як,adverb,32,17,1,2,short,як
офіційно,adverb,1981,1725,1,9,mid,офіці́йно
поставка,noun,1961,1705,1,9,mid,поста́вка
використання,noun,378,307,1,13,long,ви́користання
дерево,noun,2059,1793,1,7,short,де́рево
розділ,noun,1804,1580,1,7,short,ро́зділ
чиновник,noun,581,484,1,9,mid,чино́вник
доба,noun,1456,1266,1,5,short,доба́
росія,noun,133,90,1,6,short,Росі́я
змога,noun,702,597,1,6,short,змо́га
сум,noun,1755,1535,1,3,short,сум
дані,noun,1132,987,1,5,short,да́ні
стабільність,noun,1314,1146,1,13,long,стабі́льність
тиждень,noun,732,626,1,8,short,ти́ждень
факультет,noun,1704,1486,1,10,mid,факульте́т
господарство,noun,820,707,1,13,long,господа́рство
сумнів,noun,1129,985,1,7,short,су́мнів
висловити,verb,1475,1284,1,10,mid,ви́словити
порушувати,verb,1976,1720,1,11,long,пору́шувати
заявляти,verb,1673,1461,1,9,mid,заявля́ти
стверджувати,verb,814,701,1,13,long,стве́рджувати
спробувати,verb,1151,1006,1,11,long,спро́бувати
передати,verb,1513,1318,1,9,mid,переда́ти
подобатися,verb,1752,1532,1,11,long,подо́батися
ставити,verb,709,604,1,8,short,ста́вити
народитися,verb,1508,1313,1,11,long,народи́тися
розвивати,verb,2041,1775,1,10,mid,розвива́ти
звернутися,verb,921,801,1,11,long,зверну́тися
відмовити,verb,1189,1040,1,10,mid,відмо́вити
знати,verb,277,215,1,6,short,зна́ти
вести,verb,787,675,1,6,short,вести́
проходити,verb,1002,874,1,10,mid,прохо́дити
всесвітній,adjective,2664,2288,2,11,long,всесві́тній
венеціанський,adjective,3525,2997,2,14,long,венеціа́нський
вдалий,adjective,4088,3426,2,7,short,вда́лий
крайній,adjective,4000,3358,2,8,short,кра́йній
лікарський,adjective,3504,2980,2,11,long,лі́карський
світлий,adjective,3117,2664,2,8,short,сві́тлий
вирішальний,adjective,3189,2725,2,12,long,виріша́льний
талановитий,adjective,2375,2052,2,12,long,таланови́тий
лісовий,adjective,3569,3031,2,8,short,лісови́й
специфічний,adjective,2773,2376,2,12,long,специфі́чний
полтавський,adjective,4074,3414,2,12,long,полта́вський
святковий,adjective,3943,3311,2,10,mid,святко́вий
інституційний,adjective,3667,3104,2,14,long,інституці́йний
гірший,adjective,3048,2604,2,7,short,гі́рший
галузевий,adjective,3190,2726,2,10,mid,галузе́вий
однозначно,adverb,3040,2596,2,11,long,однозна́чно
паралельно,adverb,3394,2896,2,11,long,парале́льно
недостатньо,adverb,3102,2651,2,12,long,недоста́тньо
геть,adverb,2906,2488,2,4,short,геть
двічі,adverb,2857,2448,2,6,short,дві́чі
поспіль,adverb,3519,2992,2,8,short,по́спіль
ретельно,adverb,3556,3021,2,9,mid,рете́льно
скрізь,adverb,4196,3498,2,6,short,скрізь
чомусь,adverb,2499,2156,2,7,short,чому́сь
недавно,adverb,2560,2207,2,8,short,неда́вно
нижче,adverb,3392,2895,2,6,short,ни́жче
неодмінно,adverb,4268,3553,2,10,mid,неодмі́нно
винятково,adverb,3735,3157,2,10,mid,винятко́во
вельми,adverb,2673,2294,2,7,short,ве́льми
влітку,adverb,3262,2783,2,7,short,влі́тку
суперечність,noun,2660,2285,2,13,long,супере́чність
фікція,noun,4561,3774,2,7,short,фі́кція
гумор,noun,3912,3284,2,6,short,гу́мор
консенсус,noun,4291,3570,2,10,mid,консе́нсус
виведення,noun,4208,3506,2,10,mid,ви́ведення
пригода,noun,3990,3350,2,8,short,приго́да
здібність,noun,3771,3185,2,10,mid,зді́бність
гітлер,noun,4027,3378,2,7,short,Гі́тлер
адвокат,noun,2589,2230,2,8,short,адвока́т
звичка,noun,3723,3146,2,7,short,зви́чка
казка,noun,2687,2307,2,6,short,ка́зка
бал,noun,2515,2171,2,3,short,бал
правопорядок,noun,3114,2661,2,13,long,правопоря́док
противага,noun,3624,3073,2,10,mid,протива́га
зайнятість,noun,3232,2760,2,11,long,за́йнятість
аналізувати,verb,2590,2231,2,12,long,аналізува́ти
тягти,verb,3331,2844,2,6,short,тягти́
спати,verb,4022,3374,2,6,short,спа́ти
сягнути,verb,4323,3593,2,8,short,сягну́ти
визначитися,verb,3244,2770,2,12,long,ви́значитися
рятувати,verb,3696,3127,2,9,mid,рятува́ти
виховувати,verb,4152,3469,2,11,long,вихо́вувати
захопити,verb,3704,3133,2,9,mid,захопи́ти
народжуватися,verb,4039,3387,2,14,long,наро́джуватися
програти,verb,2821,2418,2,9,mid,програ́ти
радити,verb,3752,3169,2,7,short,ра́дити
довіряти,verb,3033,2591,2,9,mid,довіря́ти
об'єднатися,verb,4269,3554,2,12,long,об'єдна́тися
посадити,verb,4076,3415,2,9,mid,посади́ти
помітити,verb,2554,2201,2,9,mid,помі́тити
детальний,adjective,5773,4596,3,10,mid,дета́льний
позашкільний,adjective,6394,5013,3,13,long,позашкільни́й
затишний,adjective,7373,5614,3,10,mid,за́ти́шний
самодостатній,adjective,6762,5243,3,14,long,самодоста́тній
черкаський,adjective,5082,4119,3,11,long,черка́ський
рибний,adjective,7171,5498,3,7,short,ри́бний
автоматичний,adjective,5407,4349,3,13,long,автомати́чний
північноатлантичний,adjective,6273,4937,3,20,long,північноатланти́чний
фінський,adjective,6147,4853,3,9,mid,фі́нський
неповний,adjective,5168,4172,3,9,mid,непо́вний
світський,adjective,5180,4183,3,10,mid,сві́тський
паралельний,adjective,6006,4749,3,12,long,парале́льний
цинічний,adjective,6840,5294,3,9,mid,цині́чний
легітимний,adjective,4862,3962,3,11,long,легіти́мний
