word,pos,freq,index,freq_quantile,len,len_quantile,word_raw
видатний,adjective,1800,1576,1,9,mid,видатни́й
сусідній,adjective,2104,1828,1,9,mid,сусі́дній
грошовий,adjective,1722,1503,1,9,mid,грошови́й
космічний,adjective,1178,1031,1,10,mid,космі́чний
харківський,adjective,1249,1092,1,12,long,ха́рківський
колишній,adjective,480,398,1,9,mid,коли́шній
валютний,adjective,1709,1491,1,9,mid,валю́тний
справедливий,adjective,1941,1687,1,13,long,справедли́вий
всеукраїнський,adjective,1442,1254,1,15,long,всеукраї́нський
духовний,adjective,1090,951,1,9,mid,духо́вний
гуманітарний,adjective,1545,1348,1,13,long,гуманіта́рний
історичний,adjective,495,411,1,11,long,істори́чний
комуністичний,adjective,2006,1748,1,14,long,комуністи́чний
районний,adjective,1267,1107,1,9,mid,райо́нний
раніше,adverb,601,502,1,7,short,рані́ше
абсолютно,adverb,974,847,1,10,mid,абсолю́тно
іще,adverb,1412,1233,1,4,short,іще́
більше,adverb,121,80,1,7,short,бі́льше
переважно,adverb,962,836,1,10,mid,перева́жно
десь,adverb,1362,1185,1,4,short,десь
нещодавно,adverb,1215,1061,1,10,mid,нещода́вно
часом,adverb,2037,1772,1,6,short,ча́сом
значно,adverb,641,541,1,7,short,зна́чно
надзвичайно,adverb,1116,973,1,12,long,надзвича́йно
колись,adverb,1022,893,1,7,short,коли́сь
по-перше,adverb,898,779,1,9,mid,по-пе́рше
проведення,noun,374,304,1,11,long,прове́дення
оцінка,noun,625,527,1,7,short,оці́нка
організатор,noun,1680,1467,1,12,long,організа́тор
споживач,noun,1094,954,1,9,mid,спожива́ч
парламент,noun,297,234,1,10,mid,парла́мент
франція,noun,833,719,1,8,short,Фра́нція
море,noun,1662,1451,1,5,short,мо́ре
губернатор,noun,1964,1708,1,11,long,губерна́тор
встановлення,noun,1261,1103,1,13,long,встано́влення
експорт,noun,1417,1237,1,8,short,е́кспорт
модернізація,noun,1198,1046,1,13,long,модерніза́ція
спір,noun,2120,1842,1,4,short,спір
режим,noun,512,428,1,6,short,режи́м
слід,noun,1389,1211,1,4,short,слід
майбутнє,noun,689,585,1,9,mid,майбу́тнє
демонструвати,verb,1684,1469,1,14,long,демонструва́ти
привести,verb,1953,1697,1,9,mid,привести́
керувати,verb,1476,1285,1,9,mid,керува́ти
провести,verb,677,572,1,9,mid,провести́
виконати,verb,1423,1241,1,9,mid,ви́конати
мовити,verb,1308,1143,1,7,short,мо́вити
займатися,verb,594,495,1,10,mid,займа́тися
платити,verb,964,838,1,8,short,плати́ти
констатувати,verb,2199,1911,1,13,long,констатува́ти
перебувати,verb,437,357,1,11,long,перебува́ти
викликати,verb,611,512,1,10,mid,ви́кликати
згадати,verb,1056,920,1,8,short,згада́ти
користуватися,verb,1272,1112,1,15,long,кори́стува́тися
вірити,verb,894,776,1,7,short,ві́рити
опинитися,verb,1231,1076,1,10,mid,опини́тися
суворий,adjective,3079,2630,2,8,short,суво́рий
водний,adjective,3205,2740,2,7,short,во́дний
арабський,adjective,3993,3353,2,10,mid,ара́бський
невідомий,adjective,2476,2137,2,10,mid,невідо́мий
перспективний,adjective,2333,2018,2,14,long,перспекти́вний
молодіжний,adjective,3581,3038,2,11,long,молоді́жний
гендерний,adjective,4281,3562,2,10,mid,ге́ндерний
приємний,adjective,3940,3309,2,9,mid,приє́мний
залізничний,adjective,2742,2349,2,12,long,залізни́чний
причетний,adjective,4140,3460,2,10,mid,приче́тний
недавній,adjective,3435,2927,2,9,mid,неда́вній
біологічний,adjective,3761,3177,2,12,long,біологі́чний
родинний,adjective,4587,3791,2,9,mid,роди́нний
банальний,adjective,3853,3245,2,10,mid,бана́льний
чесно,adverb,2369,2046,2,6,short,че́сно
прикро,adverb,3877,3260,2,7,short,при́кро
по-різному,adverb,3961,3324,2,11,long,по-рі́зному
щонайменше,adverb,3092,2642,2,11,long,щонайме́нше
випадково,adverb,2855,2446,2,10,mid,випадко́во
звідти,adverb,3638,3084,2,7,short,зві́дти
незабаром,adverb,2540,2189,2,10,mid,незаба́ром
традиційно,adverb,2335,2020,2,11,long,традиці́йно
нормально,adverb,3352,2863,2,10,mid,норма́льно
помітно,adverb,4395,3643,2,8,short,помі́тно
якомога,adverb,3412,2911,2,8,short,якомо́га
спершу,adverb,3906,3279,2,7,short,спе́ршу
повільно,adverb,4617,3812,2,9,mid,пові́льно
неправильно,adverb,4422,3665,2,12,long,непра́вильно
сигнал,noun,2626,2261,2,7,short,сигна́л
крапка,noun,4576,3782,2,7,short,кра́пка
козацтво,noun,4515,3740,2,9,mid,коза́цтво
крісло,noun,2552,2200,2,7,short,крі́сло
продавець,noun,3623,3072,2,10,mid,продаве́ць
трансформація,noun,2404,2077,2,14,long,трансформа́ція
закінчення,noun,2223,1931,2,11,long,закі́нчення
фактор,noun,2620,2257,2,7,short,фа́ктор
експеримент,noun,2509,2165,2,12,long,експериме́нт
подарунок,noun,2585,2226,2,10,mid,подару́нок
ласка,noun,3515,2989,2,6,short,ла́ска
співвідношення,noun,2387,2064,2,15,long,співвідно́шення
франк,noun,4106,3440,2,5,short,франк
емоція,noun,2814,2413,2,7,short,емо́ція
риторика,noun,3001,2567,2,9,mid,рито́рика
відмовитися,verb,2580,2221,2,12,long,відмо́витися
відправити,verb,3403,2904,2,11,long,відпра́вити
подолати,verb,2385,2062,2,9,mid,подола́ти
дивуватися,verb,3793,3201,2,11,long,дивува́тися
підтверджувати,verb,2457,2120,2,15,long,підтве́рджувати
розробляти,verb,2692,2310,2,11,long,розробля́ти
розмовляти,verb,2314,2004,2,11,long,розмовля́ти
зауважувати,verb,3997,3356,2,12,long,заува́жувати
погоджуватися,verb,2890,2474,2,14,long,пого́джуватися
обговорити,verb,3820,3222,2,11,long,обговори́ти
припустити,verb,2446,2113,2,11,long,припусти́ти
виключити,verb,4025,3377,2,10,mid,ви́ключити
панувати,verb,3104,2653,2,9,mid,панува́ти
ввести,verb,3445,2933,2,7,short,ввести́
всенародний,adjective,5472,4394,3,12,long,всенаро́дний
грубий,adjective,5148,4162,3,7,short,гру́бий
жовтневий,adjective,5686,4543,3,10,mid,жовтне́вий
тонкий,adjective,5505,4418,3,7,short,то́нкий
похилий,adjective,5853,4649,3,8,short,похи́лий
меморіальний,adjective,6220,4903,3,13,long,меморіа́льний
каральний,adjective,7132,5471,3,10,mid,кара́льний
підпільний,adjective,6752,5239,3,11,long,підпі́льний
частий,adjective,6624,5155,3,7,short,ча́стий
чарівний,adjective,4957,4029,3,9,mid,чарівни́й
пошуковий,adjective,6333,4972,3,10,mid,пошуко́вий
ручний,adjective,5656,4520,3,7,short,ручни́й
пристойний,adjective,5177,4180,3,11,long,присто́йний
крутий,adjective,6878,5320,3,7,short,крути́й
подекуди,adverb,5337,4298,3,9,mid,поде́куди
ввечері,adverb,5313,4277,3,8,short,вве́чері
вгору,adverb,6561,5112,3,6,short,вго́ру
знов,adverb,6732,5225,3,4,short,знов
фінансово,adverb,7501,5694,3,10,mid,фіна́нсово
імовірно,adverb,6440,5044,3,9,mid,імові́рно
передовсім,adverb,5441,4372,3,11,long,передовсі́м
назустріч,adverb,5098,4130,3,10,mid,назу́стріч
кудись,adverb,6446,5046,3,7,short,куди́сь
надовго,adverb,4937,4016,3,8,short,надо́вго
по-своєму,adverb,5495,4411,3,10,mid,по-сво́єму
науково,adverb,5704,4554,3,8,short,науко́во
сертифікація,noun,5603,4483,3,13,long,сертифіка́ція
фігурант,noun,7424,5645,3,9,mid,фігура́нт
емісія,noun,6572,5117,3,7,short,емі́сія
експортер,noun,5424,4361,3,10,mid,експорте́р
грамота,noun,5275,4255,3,8,short,гра́мота
гепатит,noun,5977,4731,3,8,short,гепати́т
туніс,noun,6550,5107,3,6,short,Туні́с
заощадження,noun,5281,4258,3,12,long,заоща́дження
сполучення,noun,5455,4380,3,11,long,сполу́чення
подробиця,noun,5711,4558,3,10,mid,подро́биця
клітина,noun,5025,4076,3,8,short,кліти́на
мікрофон,noun,7461,5667,3,9,mid,мікрофо́н
сільрада,noun,5453,4378,3,9,mid,сільра́да
керування,noun,4980,4046,3,10,mid,керува́ння
єпископ,noun,6651,5174,3,8,short,єпи́скоп
заохочувати,verb,7208,5523,3,12,long,заохо́чувати
вкрасти,verb,5471,4393,3,8,short,вкра́сти
направляти,verb,7225,5533,3,11,long,направля́ти
гинути,verb,5979,4732,3,7,short,ги́нути
сплатити,verb,5077,4115,3,9,mid,сплати́ти
скасовувати,verb,4813,3934,3,12,long,скасо́вувати
годувати,verb,5056,4099,3,9,mid,годува́ти
припинитися,verb,6821,5284,3,12,long,припини́тися
непокоїти,verb,7301,5580,3,10,mid,непоко́їти
опанувати,verb,6887,5325,3,10,mid,опанува́ти
цитувати,verb,5137,4154,3,9,mid,цитува́ти
попереджати,verb,5594,4476,3,12,long,попереджа́ти
здивуватися,verb,6117,4833,3,12,long,здивува́тися
спричиняти,verb,4747,3891,3,11,long,спричиня́ти
бездоганний,adjective,7808,5883,4,12,long,бездога́нний
білоцерківський,adjective,9676,6976,4,16,long,білоцеркі́вський
дорогоцінний,adjective,7739,5839,4,13,long,дорогоці́нний
нудний,adjective,8311,6171,4,7,short,нудни́й
миколаїв,adjective,8962,6586,4,9,mid,Микола́їв
кишеньковий,adjective,9255,6747,4,12,long,кишенько́вий
окупаційний,adjective,8982,6597,4,12,long,окупаці́йний
дискримінаційний,adjective,10896,7611,4,17,long,дискримінаці́йний
щомісячний,adjective,8244,6132,4,11,long,щомі́сячний
шокований,adjective,10625,7479,4,10,mid,шоко́ваний
завтрашній,adjective,8040,6018,4,11,long,за́втрашній
серцево-судинний,adjective,7789,5873,4,18,long,серце́во-суди́нний
красний,adjective,9575,6916,4,8,short,кра́сний
сербський,adjective,8743,6454,4,10,mid,се́рбський
завчасно,adverb,10075,7187,4,9,mid,завча́сно
заміж,adverb,8669,6410,4,6,short,за́між
напрочуд,adverb,10741,7539,4,9,mid,напро́чуд
нечасто,adverb,10750,7545,4,8,short,неча́сто
психологічно,adverb,10572,7454,4,13,long,психологі́чно
зручно,adverb,9564,6907,4,7,short,зру́чно
внутрішньо,adverb,8022,6007,4,11,long,вну́трішньо
таємно,adverb,8881,6537,4,7,short,тає́мно
повторно,adverb,8576,6352,4,9,mid,повто́рно
красиво,adverb,8416,6250,4,8,short,краси́во
атом,noun,9672,6972,4,5,short,а́том
поранення,noun,9975,7129,4,10,mid,пора́нення
торжество,noun,9488,6869,4,10,mid,торжество́
стрілець,noun,10599,7467,4,9,mid,стріле́ць
таджикистан,noun,8615,6373,4,12,long,Таджикиста́н
люстрація,noun,8544,6333,4,10,mid,люстра́ція
рейс,noun,10574,7455,4,4,short,рейс
благословення,noun,8489,6300,4,14,long,благослове́ння
лавина,noun,10949,7635,4,7,short,лави́на
стагнація,noun,8611,6370,4,10,mid,стагна́ція
кишинів,noun,9417,6834,4,8,short,Кишині́в
баба,noun,8896,6548,4,5,short,ба́ба
